Algorithm,Mechanism,Batch Size,Instance Number,ANTT,STP,Fairness
FCFS,DYNAMIC,4,8,3.303740156529272,3.290922691310553,0.02598124222670832
HPF,DYNAMIC,1,4,0.7537387494198053,25.667014224664094,0.2018883083357538
HPF,DYNAMIC,1,4,0.7547404786990395,10.637269677941296,0.08427730098631875
HPF,DYNAMIC,1,4,0.5526937378187151,20.60542648184883,0.14284113810085344
HPF,DYNAMIC,1,4,0.27204640015036285,25.207454633169814,0.04603507915588805
HPF,DYNAMIC,1,4,0.8395276603126199,7.019700358669775,0.19645636267719285
HPF,DYNAMIC,1,4,3.61546995145437,13.59255711552489,0.03417332788391801
HPF,DYNAMIC,1,4,2.151199926115282,2.5375440183969133,0.3033353786446855
HPF,DYNAMIC,1,4,2.088939596085381,2.6919870408951136,0.40507355410831525
HPF,DYNAMIC,1,4,2.0785999543571596,2.5836885640105507,0.49115089598148043
PREMA,DYNAMIC,1,4,0.7575944650322838,13.56394340322615,0.16025029596674953
PREMA,DYNAMIC,1,4,0.45857220037274044,12.630690863957144,0.007555593250586255
PREMA,DYNAMIC,1,4,2.039014141626679,2.571044758151178,0.10508101091940943
PREMA,DYNAMIC,1,4,0.613780507036933,8.967115273421271,0.13571472038262158
PREMA,DYNAMIC,1,4,0.4378797683029334,12.616495560288838,0.02424778934199914
PREMA,DYNAMIC,1,4,0.46742044765877583,18.099638298250788,0.3998346839725193
PREMA,DYNAMIC,1,4,0.3213872801639416,24.80760629960475,0.13628081869324798
PREMA,DYNAMIC,1,4,11.222795424775711,1.814128294292087,0.006103979522435981
PREMA,DYNAMIC,1,4,4.251236640343059,2.6140379589552674,6.0928835165606347e-05
SJF,DYNAMIC,1,4,0.6141523565119593,19.772771093578356,0.0056552636468582065
SJF,DYNAMIC,1,4,0.6457670262847351,8.303549822944198,0.31129666775133574
SJF,DYNAMIC,1,4,0.4026931892176388,25.487280127907344,0.03325949394936251
SJF,DYNAMIC,1,4,0.40438738648761735,12.45873588573158,0.03943151659932356
SJF,DYNAMIC,1,4,0.624803764278533,8.170102174941947,0.2105598128870557
SJF,DYNAMIC,1,4,0.1679393620139401,30.176945852679786,0.04203681275705701
SJF,DYNAMIC,1,4,0.3390625526630207,14.620664823488081,0.3137336129613148
SJF,DYNAMIC,1,4,0.9107507432132252,6.008717616699908,0.13237809653263377
SJF,DYNAMIC,1,4,6.877407453526057,1.3633042239945155,0.02714785260405798
SJF,DYNAMIC,1,4,1.3845340692399324,3.1400206327947338,0.09174739029275879
TOKEN,DYNAMIC,1,4,0.30585286296758935,22.678276799604554,0.10652176819259566
TOKEN,DYNAMIC,1,4,0.8838845758695582,28.01755319873633,0.09671746155851102
TOKEN,DYNAMIC,1,4,0.8162539843498635,5.546329722942523,0.04634272918133349
TOKEN,DYNAMIC,1,4,1.8253482244422272,2.6868611266139446,0.007754477656469178
TOKEN,DYNAMIC,1,4,1.9692248643956942,2.6002374941416457,0.33970364536572
TOKEN,DYNAMIC,1,4,6.750673782800768,1.8876587376097853,3.472739717625286e-09
